Attendance Area,School,Count
Daniel Bagley,South Shore PK-8,1
Greenwood,Greenwood,278
Greenwood,Cascadia,24
Greenwood,Salmon Bay K-8,9
Greenwood,McDonald Intl,6
Greenwood,Broadview-Thomson K-8,3
Greenwood,Daniel Bagley,3
Greenwood,Loyal Heights,3
Greenwood,West Woodland,3
Greenwood,Green Lake,2
Greenwood,John Muir,2
Greenwood,John Stanford Intl,2
Greenwood,Whittier,2
Greenwood,B.F. Day,1
Greenwood,Cascade Parent Partnership,1
Greenwood,Lowell,1
Greenwood,North Beach,1
Greenwood,Northgate,1
Greenwood,Queen Anne,1
Greenwood,Stevens,1
Greenwood,Thornton Creek,1
Greenwood,TOPS K-8,1
Northgate,Northgate,149
Northgate,Hazel Wolf K-8,28
Northgate,Broadview-Thomson K-8,18
Northgate,Cascadia,11
Northgate,Cedar Park,9
Northgate,McDonald Intl,7
Northgate,John Stanford Intl,6
Northgate,Licton Springs K-8,6
Northgate,Thornton Creek,6
Northgate,Daniel Bagley,5
Northgate,Cascade Parent Partnership,3
Northgate,Olympic Hills,3
Northgate,Viewlands,3
Northgate,North Beach,2
Northgate,Queen Anne,2
Northgate,Adams,1
Northgate,B.F. Day,1
Northgate,Coe,1
Northgate,Exp. Ed. Unit,1
Northgate,Fairmount Park,1
Northgate,Green Lake,1
Northgate,Loyal Heights,1
Northgate,Non Public Agencies,1
Northgate,Olympic View,1
Northgate,Salmon Bay K-8,1
Northgate,Whittier,1
Bailey Gatzert,Bailey Gatzert,253
Bailey Gatzert,TOPS K-8,12
Bailey Gatzert,Thurgood Marshall,9
Bailey Gatzert,Kimball,5
Bailey Gatzert,John Stanford Intl,4
Bailey Gatzert,Leschi,4
Bailey Gatzert,Madrona,4
Bailey Gatzert,Montlake,4
Bailey Gatzert,Stevens,4
Bailey Gatzert,Cascade Parent Partnership,3
Bailey Gatzert,Lowell,3
Bailey Gatzert,Pathfinder K-8,2
Bailey Gatzert,Graham Hill,1
Bailey Gatzert,Hawthorne,1
Bailey Gatzert,Queen Anne,1
Bailey Gatzert,Salmon Bay K-8,1
Bailey Gatzert,South Shore PK-8,1
Bailey Gatzert,Thornton Creek,1
John Muir,John Muir,290
John Muir,Thurgood Marshall,31
John Muir,Orca K-8,12
John Muir,TOPS K-8,11
John Muir,Dearborn Park Intl,9
John Muir,Kimball,9
John Muir,South Shore PK-8,7
John Muir,Rainier View,6
John Muir,Bailey Gatzert,4
John Muir,Graham Hill,4
John Muir,Hawthorne,4
John Muir,Queen Anne,4
John Muir,Rising Star,3
John Muir,Stevens,3
John Muir,Alki,2
John Muir,Beacon Hill Intl,2
John Muir,Catharine Blaine K-8,2
John Muir,In Tandem,2
John Muir,John Stanford Intl,2
John Muir,Leschi,2
John Muir,Magnolia,22
John Muir,Dunlap,1
John Muir,Exp. Ed. Unit,1
John Muir,Lowell,1
John Muir,Maple,1
John Muir,Martin Luther King,1
John Muir,McGilvra,1
John Muir,Pathfinder K-8,1
John Muir,Wing Luke,1
Kimball,Kimball,310
Kimball,Beacon Hill Intl,23
Kimball,Thurgood Marshall,19
Kimball,Orca K-8,14
Kimball,Queen Anne,13
Kimball,John Muir,5
Kimball,Pathfinder K-8,5
Kimball,Rising Star,5
Kimball,Graham Hill,4
Kimball,Hawthorne,4
Kimball,South Shore PK-8,4
Kimball,Bailey Gatzert,3
Kimball,Martin Luther King,3
Kimball,STEM K-8,3
Kimball,Cascade Parent Partnership,2
Kimball,Dearborn Park Intl,2
Kimball,Dunlap,2
Kimball,Emerson,2
Kimball,John Stanford Intl,2
Kimball,TOPS K-8,2
Kimball,Wing Luke,2
Kimball,Leschi,1
Kimball,McGilvra,1
Kimball,Non Public Agencies,1
Thurgood Marshall,Thurgood Marshall,203
Thurgood Marshall,Bailey Gatzert,8
Thurgood Marshall,Leschi,6
Thurgood Marshall,Madrona,5
Thurgood Marshall,Queen Anne,5
Thurgood Marshall,John Muir,4
Thurgood Marshall,Stevens,3
Thurgood Marshall,Beacon Hill Intl,2
Thurgood Marshall,Maple,2
Thurgood Marshall,Orca K-8,2
Thurgood Marshall,TOPS K-8,2
Thurgood Marshall,Hawthorne,1
Thurgood Marshall,McGilvra,1
Thurgood Marshall,STEM K-8,1
Adams,Adams,311
Adams,Salmon Bay K-8,106
Adams,Cascadia,18
Adams,John Stanford Intl,13
Adams,McDonald Intl,9
Adams,Queen Anne,7
Adams,Loyal Heights,6
Adams,Cascade Parent Partnership,2
Adams,Greenwood,2
Adams,Daniel Bagley,1
Adams,Lawton,1
Adams,Licton Springs K-8,1
Adams,North Beach,1
Adams,Thornton Creek,1
Adams,West Woodland,1
Adams,Whittier,1
Loyal Heights,Loyal Heights,444
Loyal Heights,Salmon Bay K-8,56
Loyal Heights,Cascadia,40
Loyal Heights,Whittier,40
Loyal Heights,Adams,34
Loyal Heights,Licton Springs K-8,7
Loyal Heights,McDonald Intl,7
Loyal Heights,North Beach,6
Loyal Heights,John Stanford Intl,4
Loyal Heights,Queen Anne,4
Loyal Heights,Broadview-Thomson K-8,3
Loyal Heights,Cascade Parent Partnership,2
Loyal Heights,John Hay,2
Loyal Heights,Viewlands,2
Loyal Heights,Daniel Bagley,1
Loyal Heights,Exp. Ed. Unit,1
Loyal Heights,Hazel Wolf K-8,1
Loyal Heights,Non Public Agencies,1
Loyal Heights,Priv/Paroch Sped,1
North Beach,North Beach,315
North Beach,Cascadia,27
North Beach,Salmon Bay K-8,14
North Beach,McDonald Intl,11
North Beach,Loyal Heights,7
North Beach,John Stanford Intl,3
North Beach,B.F. Day,2
North Beach,Cascade Parent Partnership,2
North Beach,Greenwood,2
North Beach,Northgate,2
North Beach,Olympic Hills,2
North Beach,Queen Anne,2
North Beach,Viewlands,2
North Beach,Broadview-Thomson K-8,1
North Beach,Catharine Blaine K-8,1
North Beach,Daniel Bagley,1
North Beach,West Woodland,1
North Beach,Whittier,1
Viewlands,Viewlands,267
Viewlands,Cascadia,17
Viewlands,Queen Anne,14
Viewlands,Licton Springs K-8,12
Viewlands,North Beach,8
Viewlands,Salmon Bay K-8,8
Viewlands,Broadview-Thomson K-8,7
Viewlands,Daniel Bagley,7
Viewlands,McDonald Intl,7
Viewlands,Northgate,7
Viewlands,Whittier,7
Viewlands,Greenwood,6
Viewlands,John Stanford Intl,5
Viewlands,Loyal Heights,5
Viewlands,Olympic View,5
Viewlands,Cascade Parent Partnership,4
Viewlands,Hazel Wolf K-8,4
Viewlands,Adams,3
Viewlands,Cedar Park,3
Viewlands,Sacajawea,3
Viewlands,Thornton Creek,3
Viewlands,Laurelhurst,2
Viewlands,TOPS K-8,2
Viewlands,Exp. Ed. Unit,1
Viewlands,Green Lake,1
Viewlands,Lawton,1
Viewlands,Magnolia,1
Whittier,Whittier,325
Whittier,Salmon Bay K-8,39
Whittier,Cascadia,22
Whittier,McDonald Intl,10
Whittier,West Woodland,10
Whittier,John Stanford Intl,6
Whittier,Queen Anne,4
Whittier,Hazel Wolf K-8,3
Whittier,North Beach,3
Whittier,TOPS K-8,3
Whittier,Adams,2
Whittier,Greenwood,2
Whittier,Green Lake,1
