Attendance Area,School,Count
Highland Park,Genesee Hill,4
Highland Park,Sanislo,4
Highland Park,Cascade Parent Partnership,3
Highland Park,Queen Anne,3
Highland Park,West Seattle ES,3
Highland Park,Fairmount Park,2
Highland Park,Gatewood,2
Highland Park,Lafayette,2
Highland Park,Thurgood Marshall,2
Highland Park,TOPS K-8,2
Highland Park,Exp. Ed. Unit,1
Highland Park,Lowell,1
Highland Park,Maple,1
Roxhill,Roxhill,192
Roxhill,STEM K-8,55
Roxhill,Pathfinder K-8,19
Roxhill,Arbor Heights,8
Roxhill,Highland Park,8
Roxhill,West Seattle ES,8
Roxhill,Sanislo,7
Roxhill,Queen Anne,6
Roxhill,Concord Intl,5
Roxhill,Fairmount Park,3
Roxhill,Gatewood,3
Roxhill,Lafayette,3
Roxhill,Thurgood Marshall,3
Roxhill,Emerson,2
Roxhill,Leschi,1
Roxhill,Martin Luther King,1
Roxhill,McDonald Intl,1
Roxhill,Rainier View,1
Roxhill,South Shore PK-8,1
Roxhill,Thornton Creek,1
Sanislo,Sanislo,116
Sanislo,STEM K-8,45
Sanislo,Pathfinder K-8,29
Sanislo,Highland Park,20
Sanislo,South Shore PK-8,5
Sanislo,Fairmount Park,4
Sanislo,Queen Anne,4
Sanislo,Arbor Heights,3
Sanislo,Concord Intl,3
Sanislo,Thurgood Marshall,3
Sanislo,West Seattle ES,3
Sanislo,Alki,2
Sanislo,Gatewood,2
Sanislo,TOPS K-8,2
Sanislo,Leschi,1
Sanislo,Roxhill,1
West Seattle ES,West Seattle ES,276
West Seattle ES,STEM K-8,79
West Seattle ES,Sanislo,16
West Seattle ES,Queen Anne,13
West Seattle ES,Roxhill,13
West Seattle ES,Pathfinder K-8,9
West Seattle ES,Arbor Heights,5
West Seattle ES,Fairmount Park,5
West Seattle ES,Highland Park,5
West Seattle ES,Gatewood,4
West Seattle ES,Lafayette,3
West Seattle ES,Genesee Hill,2
West Seattle ES,Thurgood Marshall,2
West Seattle ES,Alki,1
West Seattle ES,Bailey Gatzert,1
West Seattle ES,Hawthorne,1
West Seattle ES,South Shore PK-8,1
West Seattle ES,TOPS K-8,1
STEM K-8,David T. Denny Intl,114
STEM K-8,Madison,45
STEM K-8,Out of District/Unknown,8
STEM K-8,Aki Kurose,6
