Attending School,Live Location,Count
Bailey Gatzert,Kimball,3
Bailey Gatzert,Laurelhurst,2
Bailey Gatzert,B.F. Day,1
Bailey Gatzert,Dunlap,1
Bailey Gatzert,West Seattle ES,1
John Muir,John Muir,290
John Muir,Out of District/Unknown,6
John Muir,Kimball,5
John Muir,Thurgood Marshall,4
John Muir,Hawthorne,3
John Muir,Dearborn Park Intl,2
John Muir,Emerson,2
John Muir,Graham Hill,2
John Muir,Greenwood,2
John Muir,Leschi,2
John Muir,Beacon Hill Intl,1
John Muir,Madrona,1
John Muir,Martin Luther King,1
John Muir,Rainier View,1
John Muir,Rising Star,1
John Muir,Wing Luke,1
Kimball,Kimball,310
Kimball,John Muir,9
Kimball,Beacon Hill Intl,7
Kimball,Martin Luther King,6
Kimball,Bailey Gatzert,5
Kimball,Dearborn Park Intl,5
Kimball,Hawthorne,5
Kimball,Rising Star,5
Kimball,Graham Hill,4
Kimball,Dunlap,2
Kimball,Maple,2
Kimball,Olympic View,2
Kimball,Wing Luke,2
Kimball,Arbor Heights,1
Kimball,Genesee Hill,1
Kimball,Rainier View,1
Thurgood Marshall,Thurgood Marshall,203
Thurgood Marshall,John Muir,31
Thurgood Marshall,Leschi,26
Thurgood Marshall,Kimball,19
Thurgood Marshall,McGilvra,14
Thurgood Marshall,Hawthorne,13
Thurgood Marshall,Montlake,12
Thurgood Marshall,Stevens,12
Thurgood Marshall,Emerson,11
Thurgood Marshall,Bailey Gatzert,9
Thurgood Marshall,Madrona,9
Thurgood Marshall,Maple,9
Thurgood Marshall,Graham Hill,6
Thurgood Marshall,Lowell,5
Thurgood Marshall,Rising Star,5
Thurgood Marshall,Wing Luke,5
Thurgood Marshall,Beacon Hill Intl,4
Thurgood Marshall,Dearborn Park Intl,4
Thurgood Marshall,Lafayette,4
Thurgood Marshall,Martin Luther King,4
Thurgood Marshall,Dunlap,3
Thurgood Marshall,Roxhill,3
Thurgood Marshall,Sanislo,3
Thurgood Marshall,Out of District/Unknown,2
Thurgood Marshall,Concord Intl,2
Thurgood Marshall,Highland Park,2
Thurgood Marshall,Rainier View,2
Thurgood Marshall,West Seattle ES,2
Adams,Adams,311
Adams,Loyal Heights,34
Adams,Viewlands,3
Adams,B.F. Day,2
Adams,Broadview-Thomson K-8,2
Adams,Lawton,2
Adams,Whittier,2
Adams,Out of District/Unknown,1
Adams,Coe,1
Adams,Graham Hill,1
Adams,Leschi,1
Adams,Northgate,1
Loyal Heights,Loyal Heights,444
Loyal Heights,North Beach,7
Loyal Heights,Adams,6
Loyal Heights,Viewlands,5
Loyal Heights,West Woodland,4
Loyal Heights,Greenwood,3
Loyal Heights,B.F. Day,2
Loyal Heights,Broadview-Thomson K-8,2
Loyal Heights,Out of District/Unknown,1
Loyal Heights,Daniel Bagley,1
Loyal Heights,Northgate,1
Loyal Heights,Olympic Hills,1
North Beach,North Beach,315
North Beach,Viewlands,8
North Beach,Broadview-Thomson K-8,7
North Beach,Loyal Heights,6
North Beach,Whittier,3
North Beach,Out of District/Unknown,2
North Beach,Magnolia,2
North Beach,Northgate,2
North Beach,Adams,1
North Beach,Catharine Blaine K-8,1
North Beach,Greenwood,1
Viewlands,Viewlands,267
Viewlands,Broadview-Thomson K-8,7
Viewlands,Northgate,3
Viewlands,Loyal Heights,2
Viewlands,North Beach,2
Viewlands,B.F. Day,1
Viewlands,Olympic View,1
Viewlands,Sand Point,1
Whittier,Whittier,325
Whittier,Loyal Heights,40
Whittier,Viewlands,7
Whittier,Broadview-Thomson K-8,6
Whittier,B.F. Day,4
Whittier,Green Lake,2
Whittier,Greenwood,2
Whittier,Lawton,2
Whittier,West Woodland,2
Whittier,Adams,1
Whittier,John Rogers,1
Whittier,Montlake,1
Whittier,North Beach,1
Whittier,Northgate,1
Licton Springs K-8,Broadview-Thomson K-8,15
Licton Springs K-8,Viewlands,12
Licton Springs K-8,Loyal Heights,7
Licton Springs K-8,Northgate,6
Licton Springs K-8,Daniel Bagley,4
Licton Springs K-8,B.F. Day,3
Licton Springs K-8,John Hay,2
Licton Springs K-8,West Woodland,2
Licton Springs K-8,Out of District/Unknown,1
Licton Springs K-8,Adams,1
Licton Springs K-8,Laurelhurst,1
Licton Springs K-8,Olympic Hills,1
Licton Springs K-8,Olympic View,1
Licton Springs K-8,Sand Point,1
Licton Springs K-8,Wedgwood,1
Salmon Bay K-8,Adams,106
Salmon Bay K-8,Loyal Heights,56
Salmon Bay K-8,Whittier,39
Salmon Bay K-8,West Woodland,32
Salmon Bay K-8,Broadview-Thomson K-8,14
Salmon Bay K-8,North Beach,14
Salmon Bay K-8,Greenwood,9
Salmon Bay K-8,Viewlands,8
Salmon Bay K-8,Daniel Bagley,7
Salmon Bay K-8,B.F. Day,6
Salmon Bay K-8,Green Lake,6
Salmon Bay K-8,Coe,3
Salmon Bay K-8,Lawton,3
Salmon Bay K-8,Sacajawea,3
Salmon Bay K-8,Magnolia,2
Salmon Bay K-8,Out of District/Unknown,1
Salmon Bay K-8,Bailey Gatzert,1
Salmon Bay K-8,Fairmount Park,1
Salmon Bay K-8,John Hay,1
Salmon Bay K-8,John Rogers,1
Salmon Bay K-8,Lowell,1
Salmon Bay K-8,Northgate,1
Salmon Bay K-8,Olympic View,1
